date,code,pcs_m,quantity,location
2018-02-28,G24,0.02,2,bodensee_steinach_dolder_a
2018-02-28,G82,0.07,6,bodensee_steinach_dolder_a
2018-02-28,G159,0.02,2,bodensee_steinach_dolder_a
2018-02-28,G27,0.12,11,bodensee_steinach_dolder_a
2018-02-28,G101,0.05,5,bodensee_steinach_dolder_a
2018-02-28,G175,0.09,8,bodensee_steinach_dolder_a
2018-02-28,G32,0.02,2,bodensee_steinach_dolder_a
2018-02-28,G126,0.02,2,bodensee_steinach_dolder_a
2018-02-28,G182,0.02,2,bodensee_steinach_dolder_a
2018-02-28,G3,0.07,6,bodensee_steinach_dolder_a
2018-02-28,G49,0.01,1,bodensee_steinach_dolder_a
2018-02-28,G134,0.02,2,bodensee_steinach_dolder_a
2018-02-28,G200,0.24,22,bodensee_steinach_dolder_a
2018-02-28,G8,0.01,1,bodensee_steinach_dolder_a
2018-02-28,G66,0.01,1,bodensee_steinach_dolder_a
2018-02-28,G142,0.02,2,bodensee_steinach_dolder_a
2018-02-28,G213,0.01,1,bodensee_steinach_dolder_a
2018-02-28,G23,0.05,5,bodensee_steinach_dolder_a
2018-02-28,G80,0.01,1,bodensee_steinach_dolder_a
2018-02-28,G153,0.08,7,bodensee_steinach_dolder_a
2018-02-28,G26,0.02,2,bodensee_steinach_dolder_a
2018-02-28,G96,0.02,2,bodensee_steinach_dolder_a
2018-02-28,G171,0.02,2,bodensee_steinach_dolder_a
2018-02-28,G31,0.02,2,bodensee_steinach_dolder_a
2018-02-28,G125,0.02,2,bodensee_steinach_dolder_a
2018-02-28,G178,0.03,3,bodensee_steinach_dolder_a
2018-02-28,G35,0.03,3,bodensee_steinach_dolder_a
2018-02-28,G133,0.01,1,bodensee_steinach_dolder_a
2018-02-28,G198,0.03,3,bodensee_steinach_dolder_a
2018-02-28,G7,0.05,5,bodensee_steinach_dolder_a
2018-02-28,G65,0.01,1,bodensee_steinach_dolder_a
2018-02-28,G138,0.01,1,bodensee_steinach_dolder_a
2018-02-28,G210,0.07,6,bodensee_steinach_dolder_a
2018-02-28,G21,0.02,2,bodensee_steinach_dolder_a
2018-02-28,G79,0.05,5,bodensee_steinach_dolder_a
2018-02-28,G152,0.01,1,bodensee_steinach_dolder_a
2018-02-28,G25,0.01,1,bodensee_steinach_dolder_a
2018-02-28,G89,0.03,3,bodensee_steinach_dolder_a
2018-02-28,G165,0.02,2,bodensee_steinach_dolder_a
2018-02-28,G30,0.03,3,bodensee_steinach_dolder_a
2018-02-28,G124,0.01,1,bodensee_steinach_dolder_a
2018-02-28,G177,0.01,1,bodensee_steinach_dolder_a
