location,date,total
quai-maria-belgia,2017-07-26,27.33
quai-maria-belgia,2017-09-30,11.21
quai-maria-belgia,2017-11-11,12.24
quai-maria-belgia,2018-02-11,2.69
quai-maria-belgia,2018-03-25,4.53
plage-de-dorigny,2017-03-20,9.57
aarezufluss_bern_scheurerk,2017-04-02,0.53
aarezufluss_bern_scheurerk,2017-07-09,0.06
aarezufluss_bern_scheurerk,2017-09-15,0.52
aarezufluss_bern_scheurerk,2017-11-19,0.84
aarezufluss_bern_scheurerk,2018-02-13,0.29
aare_bern_scheurerk,2017-04-02,0.02
aare_bern_scheurerk,2017-07-09,0.86
aare_bern_scheurerk,2017-09-15,0.26
aare_bern_scheurerk,2017-10-21,0.13
aare_bern_scheurerk,2017-11-16,0.36
aare_bern_scheurerk,2018-03-15,0.35
aare_bern_caveltin,2017-04-02,1.71
aare_bern_caveltin,2017-05-06,1.55
jona_tann_nusslin,2017-04-03,1.32
jona_tann_nusslin,2017-05-12,2.13
jona_tann_nusslin,2017-06-25,3.98
jona_tann_nusslin,2017-07-15,3.16
jona_tann_nusslin,2017-08-22,5.4
jona_tann_nusslin,2017-09-30,2.39
jona_tann_nusslin,2017-10-29,0.49
jona_tann_nusslin,2017-11-30,1.57
jona_tann_nusslin,2017-12-31,1.32
jona_tann_nusslin,2018-01-31,1.5
jona_tann_nusslin,2018-02-22,0.66
jona_tann_nusslin,2018-03-22,0.59
vierwaldstattersee_weggis_schoberls_3,2017-04-03,1.16
vierwaldstattersee_weggis_schoberls_3,2017-05-02,0.84
vierwaldstattersee_weggis_schoberls_3,2017-06-02,0.5
vierwaldstattersee_weggis_schoberls_3,2017-07-09,0.47
vierwaldstattersee_weggis_schoberls_3,2017-08-19,0.84
vierwaldstattersee_weggis_schoberls_3,2017-09-10,0.4
vierwaldstattersee_weggis_schoberls_3,2017-10-19,0.32
vierwaldstattersee_weggis_schoberls_3,2017-11-04,0.18
vierwaldstattersee_weggis_schoberls_3,2017-12-27,0.53
vierwaldstattersee_weggis_schoberls_3,2018-01-27,0.37
vierwaldstattersee_weggis_schoberls_3,2018-03-30,0.39
vierwaldstattersee_weggis_schoberls_1,2017-04-03,0.29
vierwaldstattersee_weggis_schoberls_1,2017-05-02,0.26
vierwaldstattersee_weggis_schoberls_1,2017-06-02,0.04
vierwaldstattersee_weggis_schoberls_1,2017-07-09,0.18
vierwaldstattersee_weggis_schoberls_1,2017-08-19,0.34
vierwaldstattersee_weggis_schoberls_1,2017-09-10,0.09
vierwaldstattersee_weggis_schoberls_1,2017-10-19,0.21
vierwaldstattersee_weggis_schoberls_1,2017-11-04,0.04
vierwaldstattersee_weggis_schoberls_1,2017-12-27,0.08
